,0,1,2,3,4,5,6,7,8,9,10,11
415,5,1,35,1,36,1,441,2450,40,16,95.143600,NOTE
416,5,1,35,1,36,2,492,2451,20,16,95.143600,24
417,4,1,35,1,37,0,1093,2465,419,32,-1,
418,5,1,35,1,37,1,1093,2465,15,32,34.643173,54
419,5,1,35,1,37,2,1378,2472,134,17,44.984283,2°-D0-A8-5740
420,4,1,35,1,38,0,1092,2492,12,9,-1,
421,5,1,35,1,38,1,1092,2492,12,9,84.367508,R
422,4,1,35,1,39,0,1059,2523,84,21,-1,
423,5,1,35,1,39,1,1059,2523,84,21,0.022537,3/4vB681
424,4,1,35,1,40,0,1059,2547,69,16,-1,
425,5,1,35,1,40,1,1059,2547,69,16,45.950222,vai1235
426,2,1,36,0,0,0,184,2578,112,25,-1,
427,3,1,36,1,0,0,184,2578,112,25,-1,
428,4,1,36,1,1,0,184,2578,112,25,-1,
429,5,1,36,1,1,1,184,2578,86,25,92.221924,NOTES
430,5,1,36,1,1,2,291,2584,5,15,90.135513,:
431,2,1,37,0,0,0,176,2622,1100,657,-1,
432,3,1,37,1,0,0,180,2622,832,250,-1,
433,4,1,37,1,1,0,190,2622,706,18,-1,
434,5,1,37,1,1,1,190,2623,13,15,80.068451,1.
435,5,1,37,1,1,2,214,2623,44,15,78.558823,DOGR
436,5,1,37,1,1,3,268,2623,20,15,96.237419,TO
437,5,1,37,1,1,4,299,2622,39,17,96.352028,HAVE
438,5,1,37,1,1,5,349,2623,47,16,96.947151,QUICK
439,5,1,37,1,1,6,407,2623,69,16,96.320702,OPENING
440,5,1,37,1,1,7,487,2623,41,16,97.003891,BAND
441,5,1,37,1,1,8,540,2624,40,15,96.965561,LOCK
442,5,1,37,1,1,9,591,2623,71,16,96.998840,CLOSURE
443,5,1,37,1,1,10,673,2624,35,15,95.184700,WITH
444,5,1,37,1,1,11,719,2624,82,16,93.154121,PRESSURE
445,5,1,37,1,1,12,812,2624,84,16,92.441650,INTERLOCK
446,4,1,37,1,2,0,189,2648,639,18,-1,
447,5,1,37,1,2,1,189,2648,13,16,94.418694,2.
448,5,1,37,1,2,2,214,2648,32,16,96.702560,LOW
449,5,1,37,1,2,3,258,2649,50,15,96.860542,RANGE
450,5,1,37,1,2,4,320,2649,81,16,96.534569,PRESSURE
451,5,1,37,1,2,5,412,2649,52,16,96.575188,GAUGE
452,5,1,37,1,2,6,474,2649,20,16,66.509232,TO
453,5,1,37,1,2,7,505,2649,20,16,96.428383,BE
454,5,1,37,1,2,8,535,2649,57,16,91.987152,VISIBLE
455,5,1,37,1,2,9,603,2650,42,15,96.895851,FROM
456,5,1,37,1,2,10,657,2650,24,15,55.435825,PIG
457,5,1,37,1,2,11,693,2649,81,17,96.485245,LAUNCHER
